Unix Time [GMT], T [C @ 5m], T [C @ 35m], T [C @ 60m]
1480078800000,17.292,13.154,11.925
1480082400000,17.401,13.468,12.304
1480086000000,17.576,13.508,12.503
1480089600000,17.776,13.591,12.557
1480093200000,17.814,13.910,12.537
1480096800000,17.867,13.816,12.625
1480100400000,17.932,13.805,12.599
1480104000000,17.955,13.949,12.524
1480107600000,17.952,14.017,12.508
1480111200000,17.917,13.970,12.229
1480114800000,17.907,14.020,12.011
1480118400000,17.920,13.666,12.016
1480122000000,17.934,13.662,11.921
1480125600000,18.097,13.480,11.912
1480129200000,18.050,13.822,12.047
1480132800000,18.045,13.659,11.930
1480136400000,18.017,14.060,12.239
1480140000000,18.006,14.214,12.354
1480143600000,17.994,14.242,12.344
1480147200000,18.018,13.810,12.332
1480150800000,17.981,13.665,12.520
1480154400000,17.986,13.955,11.643
1480158000000,17.929,13.883,11.712
1480161600000,17.861,13.345,11.782
1480165200000,17.784,13.325,11.627
1480168800000,17.782,13.145,11.967
1480172400000,17.784,13.159,12.057
1480176000000,17.795,13.395,12.147
1480179600000,17.855,13.747,12.235
1480183200000,17.940,14.052,12.236
1480186800000,18.026,14.150,12.039
1480190400000,18.060,14.099,12.277
1480194000000,18.073,14.039,12.070
1480197600000,18.016,13.946,12.120
1480201200000,17.877,14.049,11.910
1480204800000,17.811,13.866,11.908
1480208400000,17.563,13.454,11.692
1480212000000,17.462,13.495,11.831
1480215600000,17.350,13.510,12.063
1480219200000,17.253,13.267,12.051
1480222800000,17.233,14.087,12.082
1480226400000,17.251,13.974,12.074
1480230000000,17.271,13.726,12.112
1480233600000,17.258,13.563,12.056
1480237200000,17.249,13.463,11.866
1480240800000,17.262,13.898,11.951
1480244400000,17.183,13.676,11.910
1480248000000,17.032,13.393,11.839
1480251600000,16.854,13.344,11.744
1480255200000,16.805,13.332,11.529
1480258800000,16.774,13.440,11.684
1480262400000,16.757,13.310,11.777
1480266000000,16.763,13.832,11.868
1480269600000,16.850,13.928,12.086
